virus_unid	human_unid	label	pred_score
Q00901	P11233	1.0	0.299367
P10208	Q9Y4K3	1.0	0.943074
Q89270	P17612	1.0	0.999859
Q9WMB4	Q96PM5	1.0	0.159086
P04488	P01857	1.0	0.994226
Q786F3	P11021	1.0	0.999665
Q3KSQ2	Q9Y3Q8	1.0	0.757882
P17384	P21333	1.0	0.99937
P68343	Q8IUQ4	1.0	0.998371
P0C734	P62136	1.0	0.999821
O41974	Q93034	1.0	0.999921
P14739	P13051	1.0	0.015862
Q76RJ0	Q7Z7L7	1.0	0.642864
Q67296	Q96B26	1.0	0.999856
Q20MC6	P43356	1.0	0.127925
P88950	P20226	1.0	0.994579
Q9QAI2	P02647	1.0	0.973527
K4P3M7	Q09472	1.0	0.99933
P88980	O75179	1.0	0.973375
Q711A3	P63244	1.0	0.999872
P68331	O95251	1.0	0.024744
A0A0B6VKE3	P11166	1.0	0.9835
P06791	Q96SB4	1.0	0.996389
Q77M19	Q92985	1.0	0.67598
Q9DHW0	P01375	1.0	0.711725
P0DTC8	Q96F46	1.0	0.952941
K9UT94	Q8TAP6	1.0	0.988565
P69697	Q13888	1.0	0.999517
P90463	Q9Y2Z0	1.0	0.99906
P10204	P16152	1.0	0.387219
Q2HR82	P15336	1.0	0.994904
P68716	P13861	1.0	0.018414
P0C6Z3	O43889	1.0	0.728671
O41955	P63279	1.0	0.999328
P05905	Q8WX92	1.0	0.999131
P0DTD3	O15552	1.0	0.231334
P88930	P22392	1.0	0.995103
Q68842	Q9BRP8	1.0	0.995948
P59633	P02768	1.0	0.991227
E5LBU3	Q9H6F5	1.0	0.471949
Q9IDV3	Q96RT1	1.0	0.99134
P20879	O15514	1.0	0.999692
Q85295	Q16611	1.0	0.272838
P89884	Q92905	1.0	0.999079
Q4VW77	P42224	1.0	0.999982
A0EXJ2	P49848	1.0	0.999902
O41963	P02647	1.0	0.974156
P04326	Q12824	1.0	0.999938
P03428	Q9NVP1	1.0	0.999982
Q84940	O95786	1.0	0.999067
P03199	P28799	1.0	0.982982
Q7TLC7	Q13561	1.0	0.809409
P90489	P51668	1.0	0.999512
O40948	Q96BQ5	1.0	0.472571
P69698	Q9H3P2	1.0	0.999717
P05908	Q8IXH7	1.0	0.999044
Q6TUZ6	Q14116	1.0	0.905131
D2K3S2	Q14209	1.0	0.182683
Q98157	Q8WV44	1.0	0.998566
P03177	Q8N5R6	1.0	0.981455
Q1HVD3	Q5R3I4	1.0	0.003003
P03200	Q8IUQ4	1.0	0.998911
Q02842	P12814	1.0	0.999171
A0A5J6DVR7	Q16666	1.0	0.998955
P20893	Q9Y5B0	1.0	0.992444
P29882	P07196	1.0	0.994032
P04608	P58876	1.0	0.999677
P10217	Q96IJ6	1.0	0.006205
P0C731	P01857	1.0	0.995319
P03207	P40123	1.0	0.703703
P03203	Q8N9N5	1.0	0.999248
P16778	Q07812	1.0	0.531327
Q2Q067	P31249	1.0	0.001307
P03040	P01135	1.0	0.00406
P0C6Z9	Q9BV19	1.0	0.046171
Q1K9H6	O14818	1.0	0.999963
A0A0B6VHN8	P61956	1.0	0.999917
V5KTY7	O15294	1.0	0.996008
Q6SW66	P55036	1.0	0.99509
P89653	Q14457	1.0	0.792913
P15879	P11233	1.0	0.268188
P31345	O60684	1.0	0.999939
Q07041	P63208	1.0	0.999664
Q04040	Q9UHY1	1.0	0.999647
Q03340	P23458	1.0	0.994467
O41955	O00560	1.0	0.999008
P03224	Q9NSC5	1.0	0.536342
Q02840	Q15369	1.0	0.999619
Q69139	Q15942	1.0	0.999303
P04614	Q15369	1.0	0.999868
P0C723	Q9NPJ6	1.0	0.99991
Q05323	P82664	1.0	0.953138
P10189	Q16666	1.0	0.998955
P0C722	Q9UKK3	1.0	0.419978
H9XIJ5	P62937	1.0	0.999942
P13288	Q01831	1.0	0.918699
Q77HE9	Q9NWB7	1.0	0.173507
Q8JSN6	Q13123	1.0	0.999964
P0CK57	Q9BWM7	1.0	0.793029
A8CSJ8	Q9UHF1	1.0	0.037945
P03169	P23497	1.0	0.941396
P17362	A7MCY6	1.0	0.005597
Q77PA8	Q16611	1.0	0.272838
Q76QC2	Q09472	1.0	0.999071
O41966	P14625	1.0	0.999378
Q64866	Q9H7D0	1.0	0.701352
Q76RH1	P22392	1.0	0.995103
Q8JYI4	O75843	1.0	0.987826
Q1HVD1	Q12800	1.0	0.999164
Q3KSR8	Q9NRD5	1.0	0.998991
Q7LYY4	P17535	1.0	0.141687
P29128	Q13547	1.0	0.999155
Q6RZE7	P16333	1.0	0.735573
B8PZP6	P23458	1.0	0.981892
F5HFL9	Q15020	1.0	0.975834
F5HEU0	Q13087	1.0	0.002745
P68619	P33176	1.0	0.996608
Q66793	P01579	1.0	0.027881
B4URF7	Q5W0B1	1.0	0.740664
Q9IK90	Q9UPY3	1.0	0.993165
P0C746	P16220	1.0	0.997432
P03196	Q8N5R6	1.0	0.537805
O41939	Q7Z7A1	1.0	0.981793
P10205	Q8NFH5	1.0	0.674902
P03230	O43318	1.0	0.94941
Q1HVB3	P29597	1.0	0.990674
P04298	Q96RQ9	1.0	0.000699
P24738	Q15370	1.0	0.999698
P22575	P01730	1.0	0.1636
P03192	P05556	1.0	0.992081
F1BA48	O95786	1.0	0.720935
Q77GW0	Q8N8A2	1.0	0.011016
P03427	Q86V81	1.0	0.999877
P19552	P18615	1.0	0.998652
P30119	Q13137	1.0	0.999034
Q1HVG4	P62508	1.0	0.981375
Q9IH62	P52799	1.0	0.544826
Q00901	P11233	1.0	0.299367
P10208	Q9Y4K3	1.0	0.943074
Q89270	P51817	1.0	0.270339
P04488	Q8N5R6	1.0	0.986852
Q9WMB4	Q96PM5	1.0	0.159086
Q786F3	P11021	1.0	0.999665
Q3KSQ2	Q9Y3Q8	1.0	0.757882
P17384	P27694	1.0	0.997848
P68343	Q8IUQ4	1.0	0.998371
P0C734	P62136	1.0	0.999821
O41974	Q15369	1.0	0.999326
P14739	P13051	1.0	0.015862
Q76RJ0	Q7Z7L7	1.0	0.642864
Q67296	Q96B26	1.0	0.999856
Q20MC6	P43356	1.0	0.127925
P88950	P20226	1.0	0.994579
K4P3M7	Q09472	1.0	0.99933
Q9QAI2	P02647	1.0	0.973527
P88980	P07900	1.0	0.9999
Q711A3	P63244	1.0	0.999872
P68331	O95251	1.0	0.024744
A0A0B6VKE3	P11166	1.0	0.9835
P06791	Q96SB4	1.0	0.996389
Q77M19	Q9NZD2	1.0	0.005061
Q9DHW0	P01375	1.0	0.711725
P0DTC8	Q6ZXV5	1.0	0.335488
K9UT94	Q9H3P7	1.0	0.086906
P69697	Q13888	1.0	0.999517
P90463	P82909	1.0	0.97904
P10204	P35372	1.0	0.936123
Q2HR82	P17544	1.0	0.136006
P68716	P13861	1.0	0.018414
P0C6Z3	O43889	1.0	0.728671
P04663	P0DMV8	1.0	0.999873
P05905	P23193	1.0	0.999925
P0DTD3	O15552	1.0	0.231334
P88930	P22392	1.0	0.995103
Q68842	Q9BRP8	1.0	0.995948
P59633	P02768	1.0	0.991227
E5LBU3	Q9H6F5	1.0	0.471949
Q9IDV3	Q96RT1	1.0	0.99134
P20879	O15514	1.0	0.999692
Q85295	Q16611	1.0	0.272838
P89884	Q92905	1.0	0.999079
Q4VW77	P42224	1.0	0.999982
A0EXJ2	P49848	1.0	0.999902
O41963	P02647	1.0	0.974156
P04326	Q12824	1.0	0.999938
P03428	Q9NVP1	1.0	0.999982
Q84940	O95786	1.0	0.999067
P03199	P28799	1.0	0.982982
Q7TLC7	Q13561	1.0	0.809409
P90489	P51668	1.0	0.999512
O40948	Q96BQ5	1.0	0.472571
P69698	Q9H3P2	1.0	0.999717
P05908	Q8IXH7	1.0	0.999044
Q6TUZ6	Q14116	1.0	0.905131
D2K3S2	Q14209	1.0	0.182683
Q98157	Q8WV44	1.0	0.998566
P03177	Q8N5R6	1.0	0.981455
Q1HVD3	Q5R3I4	1.0	0.003003
P03200	Q8IUQ4	1.0	0.998911
Q02842	P12814	1.0	0.999171
A0A5J6DVR7	Q16666	1.0	0.998955
P20893	Q9Y5B0	1.0	0.992444
P29882	P07196	1.0	0.994032
P04608	P58876	1.0	0.999677
P10217	Q96IJ6	1.0	0.006205
P0C731	P01857	1.0	0.995319
P03207	P40123	1.0	0.703703
P03203	Q8N9N5	1.0	0.999248
P16778	Q07812	1.0	0.531327
Q2Q067	P31249	1.0	0.001307
P03040	P01135	1.0	0.00406
P0C6Z9	Q9BV19	1.0	0.046171
Q1K9H6	O14818	1.0	0.999963
A0A0B6VHN8	P61956	1.0	0.999917
V5KTY7	O15294	1.0	0.996008
Q6SW66	P55036	1.0	0.99509
P89653	Q14457	1.0	0.792913
P15879	P11233	1.0	0.268188
P31345	O60684	1.0	0.999939
Q07041	P63208	1.0	0.999664
Q04040	Q9UHY1	1.0	0.999647
Q03340	P23458	1.0	0.994467
O41955	O00560	1.0	0.999008
P03224	Q9NSC5	1.0	0.536342
Q02840	Q15369	1.0	0.999619
Q69139	Q15942	1.0	0.999303
P04614	Q15369	1.0	0.999868
P0C723	Q9NPJ6	1.0	0.99991
Q05323	P82664	1.0	0.953138
P10189	Q16666	1.0	0.998955
P0C722	Q9UKK3	1.0	0.419978
H9XIJ5	P62937	1.0	0.999942
P13288	Q01831	1.0	0.918699
Q77HE9	Q9NWB7	1.0	0.173507
Q8JSN6	Q13123	1.0	0.999964
P0CK57	Q9BWM7	1.0	0.793029
A8CSJ8	Q9UHF1	1.0	0.037945
P03169	P23497	1.0	0.941396
P17362	A7MCY6	1.0	0.005597
Q77PA8	Q16611	1.0	0.272838
Q76QC2	Q09472	1.0	0.999071
O41966	P14625	1.0	0.999378
Q64866	Q9H7D0	1.0	0.701352
Q76RH1	P22392	1.0	0.995103
Q8JYI4	O75843	1.0	0.987826
Q1HVD1	Q12800	1.0	0.999164
Q3KSR8	Q9NRD5	1.0	0.998991
Q7LYY4	P17535	1.0	0.141687
P29128	Q13547	1.0	0.999155
Q6RZE7	P16333	1.0	0.735573
B8PZP6	P23458	1.0	0.981892
F5HFL9	Q15020	1.0	0.975834
F5HEU0	Q13087	1.0	0.002745
P68619	P33176	1.0	0.996608
Q66793	P01579	1.0	0.027881
B4URF7	Q5W0B1	1.0	0.740664
Q9IK90	Q9UPY3	1.0	0.993165
P0C746	P16220	1.0	0.997432
P03196	Q8N5R6	1.0	0.537805
O41939	Q7Z7A1	1.0	0.981793
P10205	Q8NFH5	1.0	0.674902
P03230	O43318	1.0	0.94941
Q1HVB3	P29597	1.0	0.990674
P04298	Q96RQ9	1.0	0.000699
P24738	Q15370	1.0	0.999698
P22575	P01730	1.0	0.1636
P03192	P05556	1.0	0.992081
F1BA48	O95786	1.0	0.720935
Q77GW0	Q8N8A2	1.0	0.011016
P03427	Q86V81	1.0	0.999877
P19552	P18615	1.0	0.998652
P30119	Q13137	1.0	0.999034
Q1HVG4	P62508	1.0	0.981375
Q9IH62	P52799	1.0	0.544826
Q00901	P11233	1.0	0.299367
P10208	Q9Y4K3	1.0	0.943074
Q89270	P51817	1.0	0.270339
P04488	Q8N5R6	1.0	0.986852
Q9WMB4	Q96PM5	1.0	0.159086
Q786F3	P11021	1.0	0.999665
Q3KSQ2	Q9Y3Q8	1.0	0.757882
P17384	P27694	1.0	0.997848
P68343	Q8IUQ4	1.0	0.998371
P0C734	P62136	1.0	0.999821
O41974	Q15369	1.0	0.999326
P14739	P13051	1.0	0.015862
Q76RJ0	Q7Z7L7	1.0	0.642864
Q67296	Q96B26	1.0	0.999856
Q20MC6	P43356	1.0	0.127925
P88950	P20226	1.0	0.994579
K4P3M7	Q09472	1.0	0.99933
Q9QAI2	P02647	1.0	0.973527
P88980	P07900	1.0	0.9999
Q711A3	P63244	1.0	0.999872
P68331	O95251	1.0	0.024744
A0A0B6VKE3	P11166	1.0	0.9835
P06791	Q96SB4	1.0	0.996389
Q77M19	Q9NZD2	1.0	0.005061
Q9DHW0	P01375	1.0	0.711725
P0DTC8	Q6ZXV5	1.0	0.335488
K9UT94	Q9H3P7	1.0	0.086906
P69697	Q13888	1.0	0.999517
P90463	P82909	1.0	0.97904
P10204	P35372	1.0	0.936123
Q2HR82	P17544	1.0	0.136006
P68716	P13861	1.0	0.018414
P0C6Z3	O43889	1.0	0.728671
P04663	P0DMV8	1.0	0.999873
P05905	P23193	1.0	0.999925
P0DTD3	O15552	1.0	0.231334
P88930	P22392	1.0	0.995103
Q68842	Q9BRP8	1.0	0.995948
P59633	P02768	1.0	0.991227
E5LBU3	Q9H6F5	1.0	0.471949
Q9IDV3	Q96RT1	1.0	0.99134
P20879	O15514	1.0	0.999692
Q85295	Q16611	1.0	0.272838
P89884	Q92905	1.0	0.999079
Q4VW77	P42224	1.0	0.999982
A0EXJ2	P49848	1.0	0.999902
O41963	P02647	1.0	0.974156
P04326	Q12824	1.0	0.999938
P03428	Q9NVP1	1.0	0.999982
Q84940	O95786	1.0	0.999067
P03199	P28799	1.0	0.982982
Q7TLC7	Q13561	1.0	0.809409
P90489	P51668	1.0	0.999512
O40948	Q96BQ5	1.0	0.472571
P69698	Q9H3P2	1.0	0.999717
P05908	Q8IXH7	1.0	0.999044
Q6TUZ6	Q14116	1.0	0.905131
D2K3S2	Q14209	1.0	0.182683
Q98157	Q8WV44	1.0	0.998566
P03177	Q8N5R6	1.0	0.981455
Q1HVD3	Q5R3I4	1.0	0.003003
P03200	Q8IUQ4	1.0	0.998911
Q02842	P12814	1.0	0.999171
A0A5J6DVR7	Q16666	1.0	0.998955
P20893	Q9Y5B0	1.0	0.992444
P29882	P07196	1.0	0.994032
P04608	P58876	1.0	0.999677
P10217	Q96IJ6	1.0	0.006205
P0C731	P01857	1.0	0.995319
P03207	P40123	1.0	0.703703
P03203	Q8N9N5	1.0	0.999248
P16778	Q07812	1.0	0.531327
Q2Q067	P31249	1.0	0.001307
P03040	P01135	1.0	0.00406
P0C6Z9	Q9BV19	1.0	0.046171
Q1K9H6	O14818	1.0	0.999963
A0A0B6VHN8	P61956	1.0	0.999917
V5KTY7	O15294	1.0	0.996008
Q6SW66	P55036	1.0	0.99509
P89653	Q14457	1.0	0.792913
P15879	P11233	1.0	0.268188
P31345	O60684	1.0	0.999939
Q07041	P63208	1.0	0.999664
Q04040	Q9UHY1	1.0	0.999647
Q03340	P23458	1.0	0.994467
O41955	O00560	1.0	0.999008
P03224	Q9NSC5	1.0	0.536342
Q02840	Q15369	1.0	0.999619
Q69139	Q15942	1.0	0.999303
P04614	Q15369	1.0	0.999868
P0C723	Q9NPJ6	1.0	0.99991
Q05323	P82664	1.0	0.953138
P10189	Q16666	1.0	0.998955
P0C722	Q9UKK3	1.0	0.419978
H9XIJ5	P62937	1.0	0.999942
P13288	Q01831	1.0	0.918699
Q77HE9	Q9NWB7	1.0	0.173507
Q8JSN6	Q13123	1.0	0.999964
P0CK57	Q9BWM7	1.0	0.793029
A8CSJ8	Q9UHF1	1.0	0.037945
P03169	P23497	1.0	0.941396
P17362	A7MCY6	1.0	0.005597
Q77PA8	Q16611	1.0	0.272838
Q76QC2	Q09472	1.0	0.999071
O41966	P14625	1.0	0.999378
Q64866	Q9H7D0	1.0	0.701352
Q76RH1	P22392	1.0	0.995103
Q8JYI4	O75843	1.0	0.987826
Q1HVD1	Q12800	1.0	0.999164
Q3KSR8	Q9NRD5	1.0	0.998991
Q7LYY4	P17535	1.0	0.141687
P29128	Q13547	1.0	0.999155
Q6RZE7	P16333	1.0	0.735573
B8PZP6	P23458	1.0	0.981892
F5HFL9	Q15020	1.0	0.975834
F5HEU0	Q13087	1.0	0.002745
P68619	P33176	1.0	0.996608
Q66793	P01579	1.0	0.027881
B4URF7	Q5W0B1	1.0	0.740664
Q9IK90	Q9UPY3	1.0	0.993165
P0C746	P16220	1.0	0.997432
P03196	Q8N5R6	1.0	0.537805
O41939	Q7Z7A1	1.0	0.981793
P10205	Q8NFH5	1.0	0.674902
P03230	O43318	1.0	0.94941
Q1HVB3	P29597	1.0	0.990674
P04298	Q96RQ9	1.0	0.000699
P24738	Q15370	1.0	0.999698
P22575	P01730	1.0	0.1636
P03192	P05556	1.0	0.992081
F1BA48	O95786	1.0	0.720935
Q77GW0	Q8N8A2	1.0	0.011016
P03427	Q86V81	1.0	0.999877
P19552	P18615	1.0	0.998652
P30119	Q13137	1.0	0.999034
Q1HVG4	P62508	1.0	0.981375
Q9IH62	P52799	1.0	0.544826
Q00901	P11233	1.0	0.299367
P10208	Q9Y4K3	1.0	0.943074
Q89270	P51817	1.0	0.270339
P04488	Q8N5R6	1.0	0.986852
Q9WMB4	Q96PM5	1.0	0.159086
Q786F3	P11021	1.0	0.999665
Q3KSQ2	Q9Y3Q8	1.0	0.757882
P17384	P27694	1.0	0.997848
P68343	Q8IUQ4	1.0	0.998371
P0C734	P62136	1.0	0.999821
O41974	Q15369	1.0	0.999326
P14739	P13051	1.0	0.015862
Q76RJ0	Q7Z7L7	1.0	0.642864
Q67296	Q96B26	1.0	0.999856
Q20MC6	P43356	1.0	0.127925
P88950	P20226	1.0	0.994579
K4P3M7	Q09472	1.0	0.99933
Q9QAI2	P02647	1.0	0.973527
P88980	P07900	1.0	0.9999
Q711A3	P63244	1.0	0.999872
P68331	O95251	1.0	0.024744
A0A0B6VKE3	P11166	1.0	0.9835
P06791	Q96SB4	1.0	0.996389
Q77M19	Q9NZD2	1.0	0.005061
Q9DHW0	P01375	1.0	0.711725
P0DTC8	Q6ZXV5	1.0	0.335488
K9UT94	Q9H3P7	1.0	0.086906
P69697	Q13888	1.0	0.999517
P90463	P82909	1.0	0.97904
P10204	P35372	1.0	0.936123
Q2HR82	P17544	1.0	0.136006
P68716	P13861	1.0	0.018414
P0C6Z3	O43889	1.0	0.728671
P04663	P0DMV8	1.0	0.999873
P05905	P23193	1.0	0.999925
P0DTD3	O15552	1.0	0.231334
P88930	P22392	1.0	0.995103
Q68842	Q9BRP8	1.0	0.995948
P59633	P02768	1.0	0.991227
E5LBU3	Q9H6F5	1.0	0.471949
Q9IDV3	Q96RT1	1.0	0.99134
P20879	O15514	1.0	0.999692
Q85295	Q16611	1.0	0.272838
P89884	Q92905	1.0	0.999079
Q4VW77	P42224	1.0	0.999982
A0EXJ2	P49848	1.0	0.999902
O41963	P02647	1.0	0.974156
P04326	Q12824	1.0	0.999938
P03428	Q9NVP1	1.0	0.999982
Q84940	O95786	1.0	0.999067
P03199	P28799	1.0	0.982982
Q7TLC7	Q13561	1.0	0.809409
P90489	P51668	1.0	0.999512
O40948	Q96BQ5	1.0	0.472571
P69698	Q9H3P2	1.0	0.999717
P05908	Q8IXH7	1.0	0.999044
Q6TUZ6	Q14116	1.0	0.905131
D2K3S2	Q14209	1.0	0.182683
Q98157	Q8WV44	1.0	0.998566
P03177	Q8N5R6	1.0	0.981455
Q1HVD3	Q5R3I4	1.0	0.003003
P03200	Q8IUQ4	1.0	0.998911
Q02842	P12814	1.0	0.999171
A0A5J6DVR7	Q16666	1.0	0.998955
P20893	Q9Y5B0	1.0	0.992444
P29882	P07196	1.0	0.994032
P04608	P58876	1.0	0.999677
P10217	Q96IJ6	1.0	0.006205
P0C731	P01857	1.0	0.995319
P03207	P40123	1.0	0.703703
P03203	Q8N9N5	1.0	0.999248
P16778	Q07812	1.0	0.531327
Q2Q067	P31249	1.0	0.001307
P03040	P01135	1.0	0.00406
P0C6Z9	Q9BV19	1.0	0.046171
Q1K9H6	O14818	1.0	0.999963
A0A0B6VHN8	P61956	1.0	0.999917
V5KTY7	O15294	1.0	0.996008
Q6SW66	P55036	1.0	0.99509
P89653	Q14457	1.0	0.792913
P15879	P11233	1.0	0.268188
P31345	O60684	1.0	0.999939
Q07041	P63208	1.0	0.999664
Q04040	Q9UHY1	1.0	0.999647
Q03340	P23458	1.0	0.994467
O41955	O00560	1.0	0.999008
P03224	Q9NSC5	1.0	0.536342
Q02840	Q15369	1.0	0.999619
Q69139	Q15942	1.0	0.999303
P04614	Q15369	1.0	0.999868
P0C723	Q9NPJ6	1.0	0.99991
Q05323	P82664	1.0	0.953138
P10189	Q16666	1.0	0.998955
P0C722	Q9UKK3	1.0	0.419978
H9XIJ5	P62937	1.0	0.999942
P13288	Q01831	1.0	0.918699
Q77HE9	Q9NWB7	1.0	0.173507
Q8JSN6	Q13123	1.0	0.999964
P0CK57	Q9BWM7	1.0	0.793029
A8CSJ8	Q9UHF1	1.0	0.037945
P03169	P23497	1.0	0.941396
P17362	A7MCY6	1.0	0.005597
Q77PA8	Q16611	1.0	0.272838
Q76QC2	Q09472	1.0	0.999071
O41966	P14625	1.0	0.999378
Q64866	Q9H7D0	1.0	0.701352
Q76RH1	P22392	1.0	0.995103
Q8JYI4	O75843	1.0	0.987826
Q1HVD1	Q12800	1.0	0.999164
Q3KSR8	Q9NRD5	1.0	0.998991
Q7LYY4	P17535	1.0	0.141687
P29128	Q13547	1.0	0.999155
Q6RZE7	P16333	1.0	0.735573
B8PZP6	P23458	1.0	0.981892
F5HFL9	Q15020	1.0	0.975834
F5HEU0	Q13087	1.0	0.002745
P68619	P33176	1.0	0.996608
Q66793	P01579	1.0	0.027881
B4URF7	Q5W0B1	1.0	0.740664
Q9IK90	Q9UPY3	1.0	0.993165
P0C746	P16220	1.0	0.997432
P03196	Q8N5R6	1.0	0.537805
O41939	Q7Z7A1	1.0	0.981793
P10205	Q8NFH5	1.0	0.674902
P03230	O43318	1.0	0.94941
Q1HVB3	P29597	1.0	0.990674
P04298	Q96RQ9	1.0	0.000699
P24738	Q15370	1.0	0.999698
P22575	P01730	1.0	0.1636
P03192	P05556	1.0	0.992081
F1BA48	O95786	1.0	0.720935
Q77GW0	Q8N8A2	1.0	0.011016
P03427	Q86V81	1.0	0.999877
P19552	P18615	1.0	0.998652
P30119	Q13137	1.0	0.999034
Q1HVG4	P62508	1.0	0.981375
Q9IH62	P52799	1.0	0.544826
Q00901	P11233	1.0	0.299367
P10208	Q9Y4K3	1.0	0.943074
Q89270	P51817	1.0	0.270339
P04488	Q8N5R6	1.0	0.986852
Q9WMB4	Q96PM5	1.0	0.159086
Q786F3	P11021	1.0	0.999665
Q3KSQ2	Q9Y3Q8	1.0	0.757882
P17384	P27694	1.0	0.997848
P68343	Q8IUQ4	1.0	0.998371
P0C734	P62136	1.0	0.999821
O41974	Q15369	1.0	0.999326
P14739	P13051	1.0	0.015862
Q76RJ0	Q7Z7L7	1.0	0.642864
Q67296	Q96B26	1.0	0.999856
Q20MC6	P43356	1.0	0.127925
P88950	P20226	1.0	0.994579
K4P3M7	Q09472	1.0	0.99933
Q9QAI2	P02647	1.0	0.973527
P88980	P07900	1.0	0.9999
Q711A3	P63244	1.0	0.999872
P68331	O95251	1.0	0.024744
A0A0B6VKE3	P11166	1.0	0.9835
P06791	Q96SB4	1.0	0.996389
Q77M19	Q9NZD2	1.0	0.005061
Q9DHW0	P01375	1.0	0.711725
P0DTC8	Q6ZXV5	1.0	0.335488
K9UT94	Q9H3P7	1.0	0.086906
P69697	Q13888	1.0	0.999517
P90463	P82909	1.0	0.97904
P10204	P35372	1.0	0.936123
Q2HR82	P17544	1.0	0.136006
P68716	P13861	1.0	0.018414
P0C6Z3	O43889	1.0	0.728671
P04663	P0DMV8	1.0	0.999873
P05905	P23193	1.0	0.999925
P0DTD3	O15552	1.0	0.231334
P88930	P22392	1.0	0.995103
Q68842	Q9BRP8	1.0	0.995948
P59633	P02768	1.0	0.991227
E5LBU3	Q9H6F5	1.0	0.471949
Q9IDV3	Q96RT1	1.0	0.99134
P20879	O15514	1.0	0.999692
Q85295	Q16611	1.0	0.272838
P89884	Q92905	1.0	0.999079
Q4VW77	P42224	1.0	0.999982
A0EXJ2	P49848	1.0	0.999902
O41963	P02647	1.0	0.974156
P04326	Q12824	1.0	0.999938
P03428	Q9NVP1	1.0	0.999982
Q84940	O95786	1.0	0.999067
P03199	P28799	1.0	0.982982
Q7TLC7	Q13561	1.0	0.809409
P90489	P51668	1.0	0.999512
O40948	Q96BQ5	1.0	0.472571
P69698	Q9H3P2	1.0	0.999717
P05908	Q8IXH7	1.0	0.999044
Q6TUZ6	Q14116	1.0	0.905131
D2K3S2	Q14209	1.0	0.182683
Q98157	Q8WV44	1.0	0.998566
P03177	Q8N5R6	1.0	0.981455
Q1HVD3	Q5R3I4	1.0	0.003003
P03200	Q8IUQ4	1.0	0.998911
Q02842	P12814	1.0	0.999171
A0A5J6DVR7	Q16666	1.0	0.998955
P20893	Q9Y5B0	1.0	0.992444
P29882	P07196	1.0	0.994032
P04608	P58876	1.0	0.999677
P10217	Q96IJ6	1.0	0.006205
P0C731	P01857	1.0	0.995319
P03207	P40123	1.0	0.703703
P03203	Q8N9N5	1.0	0.999248
P16778	Q07812	1.0	0.531327
Q2Q067	P31249	1.0	0.001307
P03040	P01135	1.0	0.00406
P0C6Z9	Q9BV19	1.0	0.046171
Q1K9H6	O14818	1.0	0.999963
A0A0B6VHN8	P61956	1.0	0.999917
V5KTY7	O15294	1.0	0.996008
Q6SW66	P55036	1.0	0.99509
P89653	Q14457	1.0	0.792913
P15879	P11233	1.0	0.268188
P31345	O60684	1.0	0.999939
Q07041	P63208	1.0	0.999664
Q04040	Q9UHY1	1.0	0.999647
Q03340	P23458	1.0	0.994467
O41955	O00560	1.0	0.999008
P03224	Q9NSC5	1.0	0.536342
Q02840	Q15369	1.0	0.999619
Q69139	Q15942	1.0	0.999303
P04614	Q15369	1.0	0.999868
P0C723	Q9NPJ6	1.0	0.99991
Q05323	P82664	1.0	0.953138
P10189	Q16666	1.0	0.998955
P0C722	Q9UKK3	1.0	0.419978
H9XIJ5	P62937	1.0	0.999942
P13288	Q01831	1.0	0.918699
Q77HE9	Q9NWB7	1.0	0.173507
Q8JSN6	Q13123	1.0	0.999964
P0CK57	Q9BWM7	1.0	0.793029
A8CSJ8	Q9UHF1	1.0	0.037945
P03169	P23497	1.0	0.941396
P17362	A7MCY6	1.0	0.005597
Q77PA8	Q16611	1.0	0.272838
Q76QC2	Q09472	1.0	0.999071
O41966	P14625	1.0	0.999378
Q64866	Q9H7D0	1.0	0.701352
Q76RH1	P22392	1.0	0.995103
Q8JYI4	O75843	1.0	0.987826
Q1HVD1	Q12800	1.0	0.999164
Q3KSR8	Q9NRD5	1.0	0.998991
Q7LYY4	P17535	1.0	0.141687
P29128	Q13547	1.0	0.999155
Q6RZE7	P16333	1.0	0.735573
B8PZP6	P23458	1.0	0.981892
F5HFL9	Q15020	1.0	0.975834
F5HEU0	Q13087	1.0	0.002745
P68619	P33176	1.0	0.996608
Q66793	P01579	1.0	0.027881
B4URF7	Q5W0B1	1.0	0.740664
Q9IK90	Q9UPY3	1.0	0.993165
P0C746	P16220	1.0	0.997432
P03196	Q8N5R6	1.0	0.537805
O41939	Q7Z7A1	1.0	0.981793
P10205	Q8NFH5	1.0	0.674902
P03230	O43318	1.0	0.94941
Q1HVB3	P29597	1.0	0.990674
P04298	Q96RQ9	1.0	0.000699
P24738	Q15370	1.0	0.999698
P22575	P01730	1.0	0.1636
P03192	P05556	1.0	0.992081
F1BA48	O95786	1.0	0.720935
Q77GW0	Q8N8A2	1.0	0.011016
P03427	Q86V81	1.0	0.999877
P19552	P18615	1.0	0.998652
P30119	Q13137	1.0	0.999034
Q1HVG4	P62508	1.0	0.981375
Q9IH62	P52799	1.0	0.544826
Q00901	P11233	1.0	0.299367
P10208	Q9Y4K3	1.0	0.943074
Q89270	P51817	1.0	0.270339
P04488	Q8N5R6	1.0	0.986852
Q9WMB4	Q96PM5	1.0	0.159086
Q786F3	P11021	1.0	0.999665
Q3KSQ2	Q9Y3Q8	1.0	0.757882
P17384	P27694	1.0	0.997848
P68343	Q8IUQ4	1.0	0.998371
P0C734	P62136	1.0	0.999821
O41974	Q15369	1.0	0.999326
P14739	P13051	1.0	0.015862
